city,state,period,good,satisfactory,moderate,poor,very_poor,severe,days_with_data
Gwalior,Madhya Pradesh,FY2024-25,11,113,196,40,4,0,364
Gwalior,Madhya Pradesh,FY2025-26,36,119,162,48,0,0,365
Hajipur,Bihar,FY2024-25,17,70,106,112,38,5,348
Hajipur,Bihar,FY2025-26,25,96,143,64,0,0,328
Haldia,West Bengal,FY2024-25,135,107,58,54,4,0,358
Haldia,West Bengal,FY2025-26,129,106,83,40,5,0,363
Hanumangarh,Rajasthan,FY2024-25,18,66,167,52,10,0,313
Hanumangarh,Rajasthan,FY2025-26,35,103,170,34,2,0,344
Hapur,Uttar Pradesh,FY2024-25,46,105,134,45,16,2,348
Hapur,Uttar Pradesh,FY2025-26,38,106,96,75,31,3,349
Howrah,West Bengal,FY2024-25,67,120,96,74,7,0,364
Howrah,West Bengal,FY2025-26,53,163,101,47,1,0,365
Hubballi,Karnataka,FY2024-25,170,166,10,0,0,0,346
Hubballi,Karnataka,FY2025-26,204,146,0,0,0,0,350
Hyderabad,Telangana,FY2024-25,29,271,64,0,0,0,364
Hyderabad,Telangana,FY2025-26,0,328,37,0,0,0,365
Imphal,Manipur,FY2024-25,0,80,178,4,3,2,267
Imphal,Manipur,FY2025-26,0,0,80,0,0,0,80
Indore,Madhya Pradesh,FY2024-25,64,219,80,1,0,0,364
Indore,Madhya Pradesh,FY2025-26,78,187,97,3,0,0,365
Jabalpur,Madhya Pradesh,FY2024-25,62,167,127,7,0,0,363
Jabalpur,Madhya Pradesh,FY2025-26,75,188,93,9,0,0,365
Jaipur,Rajasthan,FY2024-25,18,91,215,40,0,0,364
Jaipur,Rajasthan,FY2025-26,5,114,219,27,0,0,365
Jaisalmer,Rajasthan,FY2024-25,12,129,188,21,7,0,357
Jaisalmer,Rajasthan,FY2025-26,9,128,201,23,4,0,365
Jalandhar,Punjab,FY2024-25,25,190,126,18,0,0,359
Jalandhar,Punjab,FY2025-26,37,166,147,12,0,0,362
Jalgaon,Maharashtra,FY2024-25,56,113,162,21,0,0,352
Jalgaon,Maharashtra,FY2025-26,75,137,133,4,0,0,349
Jalna,Maharashtra,FY2024-25,41,126,126,9,4,0,306
Jalna,Maharashtra,FY2025-26,40,167,72,3,0,0,282
Jalore,Rajasthan,FY2024-25,26,113,190,12,7,0,348
Jalore,Rajasthan,FY2025-26,21,138,185,13,1,0,358
Jhalawar,Rajasthan,FY2024-25,39,156,145,14,0,0,354
Jhalawar,Rajasthan,FY2025-26,30,161,151,19,0,0,361
Jhansi,Uttar Pradesh,FY2024-25,118,158,52,0,0,0,328
Jhansi,Uttar Pradesh,FY2025-26,81,223,51,1,0,0,356
Jhunjhunu,Rajasthan,FY2024-25,16,102,189,41,9,0,357
Jhunjhunu,Rajasthan,FY2025-26,28,100,199,32,1,0,360
Jodhpur,Rajasthan,FY2024-25,33,108,201,20,2,0,364
Jodhpur,Rajasthan,FY2025-26,30,155,174,6,0,0,365
Kadapa,Andhra Pradesh,FY2024-25,63,141,31,1,0,0,236
Kadapa,Andhra Pradesh,FY2025-26,16,264,32,2,0,0,314
Kalaburagi,Karnataka,FY2024-25,193,144,17,0,0,0,354
Kalaburagi,Karnataka,FY2025-26,166,194,0,0,0,0,360
Kalyan,Maharashtra,FY2024-25,82,110,161,5,0,0,358
Kalyan,Maharashtra,FY2025-26,48,156,130,6,1,0,341
Kannur,Kerala,FY2024-25,13,176,0,0,0,0,189
Kannur,Kerala,FY2025-26,5,265,16,0,0,0,286
Kanpur,Uttar Pradesh,FY2024-25,23,162,169,10,0,0,364
Kanpur,Uttar Pradesh,FY2025-26,40,175,136,13,0,0,364
Karauli,Rajasthan,FY2024-25,39,112,139,15,3,0,308
Karauli,Rajasthan,FY2025-26,61,141,136,10,0,0,348
Karnal,Haryana,FY2024-25,56,83,95,22,2,0,258
Karnal,Haryana,FY2025-26,2,33,77,57,4,0,173
Kashipur,Uttarakhand,FY2024-25,43,143,139,6,0,0,331
Kashipur,Uttarakhand,FY2025-26,85,99,79,13,2,0,278
Katihar,Bihar,FY2024-25,65,100,89,33,2,0,289
Katihar,Bihar,FY2025-26,33,187,64,3,0,0,287
Katni,Madhya Pradesh,FY2024-25,59,109,177,12,0,0,357
Katni,Madhya Pradesh,FY2025-26,40,135,169,18,0,0,362
Keonjhar,Odisha,FY2024-25,36,179,80,6,1,0,302
Keonjhar,Odisha,FY2025-26,31,155,136,4,1,0,327
Khanna,Punjab,FY2024-25,7,214,125,12,0,0,358
